车辆ID,车型,第几趟,停靠序号,类型,客户原始ID,是否绿色区客户,到达时刻,离开时刻,该点重量kg,该点体积m3,该点订单编号,累计载重kg,累计体积m3,路线总距离km,行驶能耗元,惩罚元,CO2kg,限行违规
4,新能源3000,3,1,客户10,10,是,19:40,20:00,3000.0,11.615,"[3, 4, 8, 10, 14, 16, 41, 57, 58, 62, 69, 77, 83, 95, 108, 111, 114, 120, 122, 124, 125, 137, 151, 168, 170, 179, 191, 205, 207, 213, 220, 227, 230, 232, 239, 251, 269, 285]",,,,,,,
4,新能源3000,3,2,配送中心(返回),,,21:23,,,,,,,,,,,
5,燃油3000,1,0,配送中心(出发),,,,8:57,,,,3000.0,7.109,125.14,389.14,0.0,106.97,否
5,燃油3000,1,1,客户42,42,否,10:14,10:34,3000.0,7.109,"[312, 337, 351, 380, 399, 477, 742, 746, 804, 883, 1020, 1045, 1304, 1539, 1583, 1667, 1690, 1711, 1814, 1841, 1971, 1988, 2070, 2078, 2084]",,,,,,,
5,燃油3000,1,2,配送中心(返回),,,13:16,,,,,,,,,,,
5,燃油3000,2,0,配送中心(出发),,,,13:19,,,,3000.0,7.459,194.17,550.72,4.53,151.39,否
5,燃油3000,2,1,客户39,39,否,15:05,15:25,3000.0,7.459,"[308, 342, 354, 837, 1050, 1192, 1283, 1488, 1501, 1557, 1632, 1636, 1703, 1718, 2009, 2016, 2054, 2132]",,,,,,,
5,燃油3000,2,2,配送中心(返回),,,18:10,,,,,,,,,,,
5,燃油3000,3,0,配送中心(出发),,,,18:13,,,,3000.0,8.071,77.18,221.75,51.16,60.96,否
5,燃油3000,3,1,客户43,43,否,19:18,19:38,3000.0,8.071,"[321, 366, 386, 416, 510, 535, 536, 545, 553, 628, 654, 768, 781, 786, 794, 800, 882, 924, 969, 974, 1033, 1256, 1267, 1356, 1452, 1458, 1493, 1516, 1551, 1602, 1618, 1628, 1750, 1783, 1786, 1938, 1993, 2095, 2114, 2124, 2155]",,,,,,,
5,燃油3000,3,2,配送中心(返回),,,20:44,,,,,,,,,,,
6,新能源3000,1,0,配送中心(出发),,,,9:19,,,,3000.0,7.918,164.15,130.4,0.0,33.24,否
6,新能源3000,1,1,客户59,59,否,11:15,11:35,3000.0,7.918,"[362, 364, 365, 384, 396, 520, 542, 596, 601, 622, 630, 637, 696, 720, 745, 777, 797, 844, 885, 889, 894, 910, 920, 971, 1017, 1038, 1069, 1090, 1118, 1151, 1161, 1335, 1349, 1376, 1409, 1418, 1475, 1500, 1510, 1533, 1540, 1590, 1593, 1604, 1613, 1624, 1670, 1821, 1872, 1886, 1907, 1909, 1936, 1954, 2051, 2056, 2101, 2107, 2130, 2145]",,,,,,,
6,新能源3000,1,2,配送中心(返回),,,14:14,,,,,,,,,,,
6,新能源3000,2,0,配送中心(出发),,,,14:56,,,,3000.0,7.634,178.18,139.0,46.22,35.43,否
6,新能源3000,2,1,客户52,52,否,17:27,17:47,3000.0,7.634,"[331, 340, 350, 426, 428, 451, 459, 494, 565, 588, 619, 621, 626, 627, 662, 671, 700, 709, 735, 762, 909, 928, 938, 970, 982, 1001, 1024, 1079, 1126, 1221, 1222, 1252, 1262, 1445, 1571, 1610, 1650, 1677, 1722, 1723, 1740, 1748, 1776, 1788, 1808, 1844, 1900, 1957, 1996, 2021, 2031, 2125, 2131, 2154]",,,,,,,
6,新能源3000,2,2,配送中心(返回),,,20:18,,,,,,,,,,,
7,燃油3000,1,0,配送中心(出发),,,,9:25,,,,984.24,2.566,174.21,437.56,0.0,120.28,否
7,燃油3000,1,1,客户33,33,否,10:46,11:06,527.27,1.38,"[930, 1311, 1365, 1669, 1717, 1774, 1823, 2055, 2127]",,,,,,,
7,燃油3000,1,2,客户42,42,否,11:18,11:38,341.8,0.81,"[312, 337, 351, 380, 399, 477, 742, 746, 804, 883, 1020, 1045, 1304, 1539, 1583, 1667, 1690, 1711, 1814, 1841, 1971, 1988, 2070, 2078, 2084]",,,,,,,
7,燃油3000,1,3,客户93,93,否,13:11,13:31,97.7,0.334,"[539, 1617]",,,,,,,
7,燃油3000,1,4,客户97,97,否,13:56,14:16,17.48,0.042,[651],,,,,,,
7,燃油3000,1,5,配送中心(返回),,,15:35,,,,,,,,,,,
7,燃油3000,2,0,配送中心(出发),,,,16:36,,,,3000.0,8.206,94.36,271.12,34.66,74.53,否
7,燃油3000,2,1,客户63,63,否,17:56,18:16,3000.0,8.206,"[301, 341, 422, 429, 458, 488, 500, 505, 634, 644, 647, 705, 706, 715, 774, 814, 851, 890, 891, 932, 939, 966, 1036, 1041, 1092, 1093, 1180, 1181, 1209, 1243, 1318, 1354, 1364, 1478, 1487, 1553, 1645, 1734, 1738, 1751, 1781, 1868, 1873, 1926, 1947, 1995, 2063, 2067, 2086, 2118, 2156, 2165]",,,,,,,
7,燃油3000,2,2,配送中心(返回),,,19:36,,,,,,,,,,,
7,燃油3000,3,0,配送中心(出发),,,,19:39,,,,3000.0,8.081,41.43,119.03,68.05,32.72,否
7,燃油3000,3,1,客户53,53,否,20:14,20:34,3000.0,8.081,"[378, 389, 403, 420, 463, 538, 571, 595, 664, 677, 713, 724, 726, 842, 937, 951, 988, 1051, 1059, 1075, 1084, 1091, 1112, 1115, 1116, 1123, 1152, 1166, 1170, 1200, 1213, 1280, 1295, 1299, 1321, 1451, 1456, 1489, 1505, 1601, 1627, 1641, 1643, 1702, 1766, 1787, 1791, 1799, 1854, 1861, 1892, 1905, 2128, 2134, 2153]",,,,,,,
7,燃油3000,3,2,配送中心(返回),,,21:09,,,,,,,,,,,
7,燃油3000,4,0,配送中心(出发),,,,16:06,,,,1726.84,4.4,69.25,184.91,62.24,50.83,否
7,燃油3000,4,1,客户12,12,是,17:05,17:25,1726.84,4.4,"[33, 99, 105, 115, 154, 195, 223, 229, 274, 276, 277, 284, 288, 300]",,,,,,,
7,燃油3000,4,2,配送中心(返回),,,18:23,,,,,,,,,,,
8,燃油3000,1,0,配送中心(出发),,,,9:19,,,,2908.0,7.636,158.99,449.68,31.24,123.61,否
8,燃油3000,1,1,客户59,59,否,11:15,11:35,2807.39,7.409,"[362, 364, 365, 384, 396, 520, 542, 596, 601, 622, 630, 637, 696, 720, 745, 777, 797, 844, 885, 889, 894, 910, 920, 971, 1017, 1038, 1069, 1090, 1118, 1151, 1161, 1335, 1349, 1376, 1409, 1418, 1475, 1500, 1510, 1533, 1540, 1590, 1593, 1604, 1613, 1624, 1670, 1821, 1872, 1886, 1907, 1909, 1936, 1954, 2051, 2056, 2101, 2107, 2130, 2145]",,,,,,,
8,燃油3000,1,2,客户90,90,否,12:16,14:10,100.61,0.227,"[752, 833, 1127, 2047]",,,,,,,
8,燃油3000,1,3,配送中心(返回),,,15:48,,,,,,,,,,,
8,燃油3000,2,0,配送中心(出发),,,,15:51,,,,2939.5,7.147,111.24,302.12,23.71,83.05,否
8,燃油3000,2,1,客户92,92,否,16:20,16:40,1524.51,3.82,"[387, 504, 1568, 1828]",,,,,,,
8,燃油3000,2,2,客户68,68,否,17:53,18:51,1414.99,3.327,"[326, 346, 372, 410, 417, 546, 575, 646, 650, 699, 703, 725, 729, 754, 784, 832, 870, 918, 990, 992, 1007, 1082, 1104, 1150, 1159, 1164, 1187, 1352, 1381, 1394, 1398, 1402, 1424, 1532, 1599, 1605, 1634, 1648, 1773, 1784, 1827, 1839, 1916, 1924, 1937, 1940, 2005, 2048, 2117, 2133]",,,,,,,
8,燃油3000,2,3,配送中心(返回),,,20:17,,,,,,,,,,,
9,新能源3000,1,0,配送中心(出发),,,,9:01,,,,2735.38,8.015,136.13,109.14,1.01,27.82,否
9,新能源3000,1,1,客户38,38,否,10:28,10:48,1261.73,4.067,"[398, 427, 506, 530, 925, 949, 1039, 1143, 1204, 1232, 1268, 1293, 1387, 1497, 1653, 1697, 1797, 1876, 1894, 1962, 2082]",,,,,,,
9,新能源3000,1,2,客户6,6,是,11:43,12:06,1473.64,3.947,"[7, 13, 15, 19, 24, 25, 32, 35, 38, 40, 51, 60, 104, 110, 118, 119, 127, 149, 156, 176, 204, 206, 217, 224, 259, 286, 290, 295]",,,,,,,
9,新能源3000,1,3,配送中心(返回),,,13:35,,,,,,,,,,,
9,新能源3000,2,0,配送中心(出发),,,,14:17,,,,3000.0,7.25,96.95,75.63,7.74,19.28,否
9,新能源3000,2,1,客户64,64,否,15:14,15:34,3000.0,7.25,"[367, 376, 391, 411, 515, 528, 566, 636, 680, 687, 691, 714, 738, 756, 798, 815, 880, 985, 1016, 1025, 1066, 1171, 1244, 1334, 1336, 1378, 1436, 1483, 1538, 1547, 1665, 1681, 1694, 1754, 1792, 1813, 1826, 1848, 1849, 1914, 1929, 1951, 1977, 2043, 2050, 2072, 2083, 2093, 2164]",,,,,,,
9,新能源3000,2,2,配送中心(返回),,,16:56,,,,,,,,,,,
9,新能源3000,3,0,配送中心(出发),,,,16:59,,,,3000.0,8.206,94.36,73.44,54.51,18.72,否
9,新能源3000,3,1,客户63,63,否,18:19,18:39,3000.0,8.206,"[301, 341, 422, 429, 458, 488, 500, 505, 634, 644, 647, 705, 706, 715, 774, 814, 851, 890, 891, 932, 939, 966, 1036, 1041, 1092, 1093, 1180, 1181, 1209, 1243, 1318, 1354, 1364, 1478, 1487, 1553, 1645, 1734, 1738, 1751, 1781, 1868, 1873, 1926, 1947, 1995, 2063, 2067, 2086, 2118, 2156, 2165]",,,,,,,
9,新能源3000,3,2,配送中心(返回),,,19:59,,,,,,,,,,,
9,新能源3000,4,0,配送中心(出发),,,,20:02,,,,3000.0,8.562,97.75,76.08,70.18,19.39,否
9,新能源3000,4,1,客户62,62,否,21:25,21:45,3000.0,8.562,"[344, 373, 377, 421, 435, 440, 481, 496, 508, 572, 584, 592, 597, 610, 614, 639, 719, 744, 764, 858, 871, 893, 903, 915, 922, 987, 1014, 1028, 1030, 1111, 1131, 1145, 1194, 1234, 1337, 1361, 1367, 1412, 1421, 1422, 1507, 1514, 1550, 1580, 1596, 1603, 1629, 1676, 1713, 1729, 1746, 1762, 1779, 1811, 1824, 1845, 1866, 1878, 1908, 1963, 1965, 1973, 2091]",,,,,,,
9,新能源3000,4,2,配送中心(返回),,,23:08,,,,,,,,,,,
10,新能源3000,1,0,配送中心(出发),,,,9:19,,,,3000.0,7.918,164.15,130.4,0.0,33.24,否
10,新能源3000,1,1,客户59,59,否,11:15,11:35,3000.0,7.918,"[362, 364, 365, 384, 396, 520, 542, 596, 601, 622, 630, 637, 696, 720, 745, 777, 797, 844, 885, 889, 894, 910, 920, 971, 1017, 1038, 1069, 1090, 1118, 1151, 1161, 1335, 1349, 1376, 1409, 1418, 1475, 1500, 1510, 1533, 1540, 1590, 1593, 1604, 1613, 1624, 1670, 1821, 1872, 1886, 1907, 1909, 1936, 1954, 2051, 2056, 2101, 2107, 2130, 2145]",,,,,,,
10,新能源3000,1,2,配送中心(返回),,,14:14,,,,,,,,,,,
10,新能源3000,2,0,配送中心(出发),,,,14:17,,,,3000.0,7.25,96.95,75.63,7.74,19.28,否
10,新能源3000,2,1,客户64,64,否,15:14,15:34,3000.0,7.25,"[367, 376, 391, 411, 515, 528, 566, 636, 680, 687, 691, 714, 738, 756, 798, 815, 880, 985, 1016, 1025, 1066, 1171, 1244, 1334, 1336, 1378, 1436, 1483, 1538, 1547, 1665, 1681, 1694, 1754, 1792, 1813, 1826, 1848, 1849, 1914, 1929, 1951, 1977, 2043, 2050, 2072, 2083, 2093, 2164]",,,,,,,
10,新能源3000,2,2,配送中心(返回),,,16:56,,,,,,,,,,,
10,新能源3000,3,0,配送中心(出发),,,,16:59,,,,2692.99,7.366,94.36,72.32,54.51,18.43,否
10,新能源3000,3,1,客户63,63,否,18:19,18:39,2692.99,7.366,"[301, 341, 422, 429, 458, 488, 500, 505, 634, 644, 647, 705, 706, 715, 774, 814, 851, 890, 891, 932, 939, 966, 1036, 1041, 1092, 1093, 1180, 1181, 1209, 1243, 1318, 1354, 1364, 1478, 1487, 1553, 1645, 1734, 1738, 1751, 1781, 1868, 1873, 1926, 1947, 1995, 2063, 2067, 2086, 2118, 2156, 2165]",,,,,,,
10,新能源3000,3,2,配送中心(返回),,,19:59,,,,,,,,,,,
10,新能源3000,4,0,配送中心(出发),,,,20:02,,,,2804.29,8.004,97.75,75.34,70.18,19.2,否
10,新能源3000,4,1,客户62,62,否,21:25,21:45,2804.29,8.004,"[344, 373, 377, 421, 435, 440, 481, 496, 508, 572, 584, 592, 597, 610, 614, 639, 719, 744, 764, 858, 871, 893, 903, 915, 922, 987, 1014, 1028, 1030, 1111, 1131, 1145, 1194, 1234, 1337, 1361, 1367, 1412, 1421, 1422, 1507, 1514, 1550, 1580, 1596, 1603, 1629, 1676, 1713, 1729, 1746, 1762, 1779, 1811, 1824, 1845, 1866, 1878, 1908, 1963, 1965, 1973, 2091]",,,,,,,
10,新能源3000,4,2,配送中心(返回),,,23:08,,,,,,,,,,,
11,新能源3000,1,0,配送中心(出发),,,,9:21,,,,2506.71,6.651,80.86,61.53,0.0,15.68,否
11,新能源3000,1,1,客户9,9,是,10:06,10:26,2506.71,6.651,"[2, 45, 54, 59, 64, 71, 86, 100, 101, 129, 131, 155, 159, 161, 162, 163, 181, 183, 184, 186, 190, 192, 194, 200, 201, 211, 219, 231, 237, 248, 253, 260, 264, 281, 289, 294, 297]",,,,,,,
11,新能源3000,1,2,配送中心(返回),,,11:46,,,,,,,,,,,
11,新能源3000,2,0,配送中心(出发),,,,11:49,,,,2922.05,8.749,221.2,167.52,76.22,42.7,否
11,新能源3000,2,1,客户11,11,是,13:50,14:10,1325.53,4.363,"[18, 49, 63, 84, 144, 145, 153, 188, 209, 210, 218, 222, 234, 244, 245, 246, 256, 258, 273, 298]",,,,,,,
11,新能源3000,2,2,客户74,74,否,14:30,14:50,725.97,2.131,"[408, 438, 561, 615, 670, 926, 1003, 1060, 1128, 1148, 1226, 1340, 1371, 1383, 1386, 1476, 1842, 1881, 1982, 1989, 1997, 2036, 2053, 2058]",,,,,,,
11,新能源3000,2,3,客户95,95,否,15:43,16:03,109.35,0.297,[1999],,,,,,,
11,新能源3000,2,4,客户52,52,否,16:30,16:50,715.39,1.821,"[331, 340, 350, 426, 428, 451, 459, 494, 565, 588, 619, 621, 626, 627, 662, 671, 700, 709, 735, 762, 909, 928, 938, 970, 982, 1001, 1024, 1079, 1126, 1221, 1222, 1252, 1262, 1445, 1571, 1610, 1650, 1677, 1722, 1723, 1740, 1748, 1776, 1788, 1808, 1844, 1900, 1957, 1996, 2021, 2031, 2125, 2131, 2154]",,,,,,,
11,新能源3000,2,5,客户26,26,否,17:14,17:34,45.81,0.136,"[452, 1453, 1454]",,,,,,,
11,新能源3000,2,6,配送中心(返回),,,19:48,,,,,,,,,,,
11,新能源3000,3,0,配送中心(出发),,,,19:51,,,,3000.0,8.081,41.43,32.24,78.59,8.22,否
11,新能源3000,3,1,客户53,53,否,20:26,20:46,3000.0,8.081,"[378, 389, 403, 420, 463, 538, 571, 595, 664, 677, 713, 724, 726, 842, 937, 951, 988, 1051, 1059, 1075, 1084, 1091, 1112, 1115, 1116, 1123, 1152, 1166, 1170, 1200, 1213, 1280, 1295, 1299, 1321, 1451, 1456, 1489, 1505, 1601, 1627, 1641, 1643, 1702, 1766, 1787, 1791, 1799, 1854, 1861, 1892, 1905, 2128, 2134, 2153]",,,,,,,
11,新能源3000,3,2,配送中心(返回),,,21:21,,,,,,,,,,,
11,新能源3000,4,0,配送中心(出发),,,,21:24,,,,2860.44,8.925,101.91,78.76,128.98,20.07,否
11,新能源3000,4,1,客户67,67,否,22:51,23:11,2860.44,8.925,"[330, 352, 356, 490, 564, 741, 769, 802, 826, 852, 859, 861, 995, 1004, 1009, 1120, 1155, 1162, 1174, 1202, 1231, 1247, 1314, 1327, 1341, 1373, 1429, 1502, 1519, 1534, 1572, 1592, 1640, 1647, 1682, 1689, 1739, 1742, 1744, 1755, 1915, 1935, 1943, 1978, 1992, 2025, 2066, 2094, 2111, 2157]",,,,,,,
11,新能源3000,4,2,配送中心(返回),,,24:37,,,,,,,,,,,
12,新能源3000,1,0,配送中心(出发),,,,9:08,,,,2872.38,8.224,218.78,169.82,26.97,43.28,否
12,新能源3000,1,1,客户87,87,否,11:18,11:38,180.29,0.465,"[310, 347, 359, 1447, 1638, 2003]",,,,,,,
12,新能源3000,1,2,客户70,70,否,12:60,13:20,2674.65,7.714,"[329, 332, 333, 424, 425, 432, 465, 478, 502, 517, 669, 678, 682, 753, 943, 950, 981, 986, 996, 1083, 1102, 1203, 1220, 1302, 1328, 1370, 1410, 1435, 1465, 1468, 1508, 1520, 1570, 1673, 1695, 1698, 1756, 1817, 1901, 1910, 1925, 1952]",,,,,,,
12,新能源3000,1,3,客户75,75,否,14:06,14:45,17.44,0.045,"[613, 750, 900, 957, 1002, 1034, 1042, 1064, 1173, 1223, 1259, 1350, 1440, 1626, 1651, 1753, 1765, 1771, 1949, 1970, 2087]",,,,,,,
12,新能源3000,1,4,配送中心(返回),,,16:33,,,,,,,,,,,
12,新能源3000,2,0,配送中心(出发),,,,17:08,,,,3000.0,7.955,192.21,149.59,55.34,38.13,否
12,新能源3000,2,1,客户54,54,否,19:50,20:10,3000.0,7.955,"[319, 379, 390, 414, 462, 486, 625, 692, 731, 748, 824, 845, 846, 863, 887, 927, 976, 1052, 1154, 1160, 1175, 1176, 1224, 1391, 1405, 1413, 1426, 1430, 1442, 1474, 1477, 1499, 1503, 1561, 1577, 1598, 1642, 1666, 1668, 1699, 1743, 1759, 1770, 1816, 1830, 1835, 1862, 1882, 1885, 1942, 2004, 2011, 2150, 2167, 2169]",,,,,,,
12,新能源3000,2,2,配送中心(返回),,,22:53,,,,,,,,,,,
13,燃油3000,1,0,配送中心(出发),,,,9:36,,,,2172.19,7.359,132.01,347.0,55.2,95.39,否
13,燃油3000,1,1,客户86,86,否,10:06,10:26,532.89,2.849,"[360, 361, 409, 1058, 1225, 1891, 1912]",,,,,,,
13,燃油3000,1,2,客户37,37,否,10:58,11:18,564.95,1.819,"[443, 582, 923, 1063, 1254, 1260, 1292, 1307, 1357, 1496, 1531, 1657, 1871]",,,,,,,
13,燃油3000,1,3,客户56,56,否,12:52,14:10,1065.16,2.673,"[404, 461, 526, 583, 598, 641, 643, 666, 701, 740, 767, 772, 792, 806, 809, 1019, 1035, 1049, 1055, 1097, 1098, 1100, 1146, 1167, 1179, 1205, 1211, 1263, 1324, 1432, 1485, 1486, 1527, 1530, 1565, 1575, 1606, 1692, 1700, 1853, 1883, 1906, 1953, 1956, 1959, 1990, 1994, 2041, 2071, 2085]",,,,,,,
13,燃油3000,1,4,客户94,94,否,14:25,14:45,9.19,0.018,[371],,,,,,,
13,燃油3000,1,5,配送中心(返回),,,16:03,,,,,,,,,,,
13,燃油3000,2,0,配送中心(出发),,,,16:06,,,,2799.93,8.889,84.71,240.69,34.88,66.16,否
13,燃油3000,2,1,客户45,45,否,17:18,17:38,2799.93,8.889,"[318, 343, 447, 467, 474, 485, 521, 603, 856, 867, 886, 921, 931, 1032, 1046, 1072, 1074, 1106, 1172, 1197, 1210, 1298, 1316, 1374, 1444, 1461, 1467, 1481, 1495, 1515, 1543, 1726, 1863, 1888, 1895, 1928, 1933, 1968, 2010, 2044, 2098, 2112, 2160]",,,,,,,
13,燃油3000,2,2,配送中心(返回),,,18:50,,,,,,,,,,,
13,燃油3000,3,0,配送中心(出发),,,,18:53,,,,3000.0,8.59,79.74,229.11,67.68,62.98,否
13,燃油3000,3,1,客户51,51,否,20:00,20:20,3000.0,8.59,"[304, 419, 446, 450, 524, 559, 605, 612, 652, 667, 681, 704, 717, 727, 730, 747, 796, 840, 936, 961, 972, 1006, 1217, 1237, 1245, 1306, 1323, 1369, 1389, 1407, 1416, 1419, 1420, 1438, 1521, 1541, 1546, 1556, 1569, 1691, 1714, 1728, 1812, 1815, 1856, 1875, 1887, 1918, 1932, 1976, 2001, 2029, 2116, 2166]",,,,,,,
13,燃油3000,3,2,配送中心(返回),,,21:28,,,,,,,,,,,
14,燃油3000,1,0,配送中心(出发),,,,9:37,,,,2468.82,6.101,150.89,416.59,76.0,114.52,否
