车辆,车型,第几趟,出发,返回,经绿色区,客户(原始ID),载重kg,体积m3,行驶元,惩罚元,CO2kg
13,燃油3000,4,19:00,20:30,否,[53],3000.0,8.081,119.03,36.07,32.72
14,燃油3000,1,9:37,15:06,否,"[46, 35, 32, 61]",2468.82,6.101,416.59,76.0,114.52
14,燃油3000,2,15:09,18:55,否,"[69, 65]",2841.47,7.309,318.4,0.0,87.53
14,燃油3000,3,18:58,23:38,否,"[53, 81, 34, 28]",2928.82,8.394,313.56,232.37,86.19
15,燃油3000,1,9:47,14:00,否,"[88, 41]",2866.02,8.389,287.28,30.03,78.97
15,燃油3000,2,14:03,16:38,否,[64],2849.77,6.887,272.7,0.0,74.96
15,燃油3000,3,16:41,19:02,否,[48],3000.0,6.82,205.6,11.51,56.52
15,燃油3000,4,19:05,22:11,否,[62],3000.0,8.562,280.87,22.75,77.21
16,新能源3000,1,9:56,11:14,否,[60],3000.0,7.879,28.67,0.0,7.31
16,新能源3000,2,11:17,13:21,否,[60],3000.0,7.879,28.65,54.71,7.3
16,新能源3000,3,13:24,15:41,否,[64],3000.0,7.25,75.76,0.0,19.31
16,新能源3000,4,15:44,18:44,否,[63],3000.0,8.206,73.44,0.0,18.72
16,新能源3000,5,18:47,23:21,否,[71],3000.0,9.824,116.27,7.88,29.64
17,燃油3000,1,9:56,11:14,否,[60],3000.0,7.879,104.23,0.0,28.65
17,燃油3000,2,11:17,14:59,否,[61],3000.0,9.181,324.1,0.0,89.09
17,燃油3000,3,15:02,19:43,否,"[57, 44, 31]",2933.58,7.284,368.39,6.57,101.27
17,燃油3000,4,19:46,21:02,否,[47],2784.5,8.096,93.85,15.89,25.8
18,燃油3000,1,10:07,13:57,否,[61],3000.0,9.181,346.34,12.41,95.2
18,燃油3000,2,14:00,20:44,否,"[52, 89, 84, 55]",2564.55,6.961,599.54,38.56,164.81
19,新能源3000,1,10:22,18:18,是,"[13, 93, 3, 97, 43]",2951.86,7.905,143.77,33.78,36.64
19,新能源3000,2,18:21,24:54,否,"[51, 19, 50, 71]",2437.14,6.741,138.73,194.57,35.36
20,燃油3000,1,10:26,14:42,否,[74],3000.0,8.807,374.85,0.0,103.04
20,燃油3000,2,14:45,16:39,否,[57],3000.0,7.677,171.07,0.0,47.02
20,燃油3000,3,16:42,19:03,否,[48],2598.73,5.908,201.02,12.39,55.26
20,燃油3000,4,19:06,22:12,否,[62],3000.0,8.562,280.87,23.63,77.21
21,燃油3000,1,10:30,15:01,否,[73],2996.47,7.546,413.93,0.0,113.78
21,燃油3000,2,15:04,17:47,否,[45],3000.0,9.524,243.4,0.0,66.91
21,燃油3000,3,17:50,21:54,否,[55],3000.0,7.575,379.52,25.76,104.33
22,燃油3000,1,16:06,23:52,是,"[39, 95, 26, 54, 27, 2]",2847.21,7.339,594.85,929.41,163.52
22,燃油3000,2,16:06,18:17,是,[8],3000.0,9.199,189.79,262.48,52.17
23,新能源3000,1,10:57,16:54,否,[39],3000.0,7.459,151.38,0.0,38.58
23,新能源3000,2,16:57,19:11,否,[25],2528.14,5.338,51.29,21.46,13.07
23,新能源3000,3,19:14,23:33,否,[50],3000.0,8.11,109.72,13.68,27.97
24,燃油3000,1,10:57,15:58,否,[56],3000.0,7.528,458.07,0.0,125.92
24,燃油3000,2,16:01,19:01,否,[63],2692.99,7.366,266.5,6.01,73.26
24,燃油3000,3,19:04,22:16,否,[67],2860.44,8.925,290.54,12.12,79.87
25,燃油3000,1,10:57,15:58,否,[56],3000.0,7.528,458.07,0.0,125.92
25,燃油3000,2,16:01,21:47,否,[54],3000.0,7.955,552.27,0.12,151.81
26,燃油3000,1,11:04,16:21,否,"[30, 82, 56, 94]",2902.28,8.095,369.08,47.0,101.46
26,燃油3000,2,16:24,19:11,否,[65],3000.0,6.76,249.61,12.55,68.62
26,燃油3000,3,19:14,22:20,否,[62],2804.29,8.004,277.81,30.44,76.37
27,燃油3000,1,15:31,20:07,否,"[24, 80, 29]",2642.45,6.907,329.93,5.32,90.7
27,燃油3000,2,16:06,18:17,是,[8],3000.0,9.199,189.79,262.48,52.17
28,燃油3000,1,15:38,20:23,否,[27],3000.0,7.088,450.55,0.0,123.85
28,燃油3000,2,16:06,18:17,是,[8],3000.0,9.199,189.79,262.48,52.17
29,燃油3000,1,15:42,18:39,否,[44],3000.0,7.66,266.43,0.0,73.24
29,燃油3000,2,18:42,21:55,否,[68],3000.0,7.053,292.43,17.36,80.39
29,燃油3000,3,16:06,18:17,是,[8],2749.55,8.431,187.15,262.48,51.45
30,燃油3000,1,15:47,18:18,否,[43],3000.0,8.071,221.75,0.0,60.96
30,燃油3000,2,18:21,21:27,是,[10],3000.0,11.615,282.38,0.0,77.62
30,燃油3000,3,16:06,19:56,是,[7],3000.0,7.33,357.45,186.19,98.26
31,燃油3000,1,16:03,20:06,否,[55],3000.0,7.575,379.52,0.0,104.33
31,燃油3000,2,16:06,19:56,是,[7],3000.0,7.33,357.45,186.19,98.26
32,燃油3000,1,16:03,20:06,否,[55],3000.0,7.575,379.52,0.0,104.33
32,燃油3000,2,16:06,18:43,是,[6],3000.0,8.036,233.53,213.23,64.19
33,燃油3000,1,16:03,20:06,否,[55],3000.0,7.575,379.52,0.0,104.33
33,燃油3000,2,16:06,19:51,是,"[6, 11]",2799.17,8.31,303.8,467.06,83.51
