车辆,车型,第几趟,出发时刻,返回时刻,客户序列(原始ID),载重(kg),体积(m3),行驶能耗(元),时间窗惩罚(元),CO2(kg)
15,燃油3000,3,16:35,20:56,"[24, 80, 29]",2642.45,6.907,329.93,6.65,90.7
16,燃油3000,1,9:47,14:00,"[88, 41]",2866.02,8.389,287.28,30.03,78.97
16,燃油3000,2,14:05,15:47,[57],3000.0,7.677,169.47,0.0,46.59
16,燃油3000,3,15:50,21:36,[54],3000.0,7.955,552.27,0.0,151.81
17,燃油3000,1,9:56,11:14,[60],3000.0,7.879,104.23,0.0,28.65
17,燃油3000,2,11:17,13:21,[60],3000.0,7.879,104.62,54.71,28.76
17,燃油3000,3,13:24,16:16,[58],2933.96,9.728,331.58,0.0,91.15
17,燃油3000,4,16:19,18:41,[48],2598.73,5.908,201.02,0.0,55.26
17,燃油3000,5,18:44,21:56,[68],3000.0,7.053,292.43,18.65,80.39
18,燃油3000,1,9:56,11:14,[60],3000.0,7.879,104.23,0.0,28.65
18,燃油3000,2,11:17,14:09,"[60, 49]",2393.47,6.868,174.43,54.71,47.95
18,燃油3000,3,14:37,17:08,[45],3000.0,9.524,240.27,2.93,66.05
18,燃油3000,4,17:11,20:14,"[44, 53]",2516.15,6.56,244.62,24.23,67.24
19,新能源3000,1,9:57,13:06,[8],3000.0,9.199,51.53,0.0,13.13
19,新能源3000,2,13:09,24:32,"[97, 3, 95, 91, 26, 27, 77, 98, 19]",2714.84,7.358,219.94,39.57,56.06
20,新能源3000,1,9:25,20:06,"[33, 42, 89, 84, 55]",2718.23,7.33,145.65,62.65,37.12
21,新能源3000,1,10:22,20:15,"[13, 39, 54, 2]",2998.53,7.633,136.87,76.48,34.88
22,燃油3000,1,10:07,13:57,[61],3000.0,9.181,346.34,12.41,95.2
22,燃油3000,2,14:05,15:47,[57],3000.0,7.677,169.47,0.0,46.59
22,燃油3000,3,15:50,21:36,[54],3000.0,7.955,552.27,0.0,151.81
23,燃油3000,1,10:07,13:57,[61],3000.0,9.181,346.34,12.41,95.2
23,燃油3000,2,14:37,17:08,[45],2799.93,8.889,237.62,2.93,65.32
23,燃油3000,3,17:11,19:42,[43],3000.0,8.071,221.75,0.16,60.96
23,燃油3000,4,19:45,22:26,[72],2725.32,7.501,235.04,17.5,64.61
24,燃油3000,1,10:22,14:25,"[6, 11]",2799.17,8.31,305.39,15.75,83.95
24,燃油3000,2,14:28,16:24,[12],1726.84,4.4,182.66,0.0,50.21
24,燃油3000,3,16:27,21:48,"[31, 81, 34, 28]",2736.59,7.558,393.74,29.59,108.23
25,燃油3000,1,9:19,14:13,[59],3000.0,7.918,493.31,0.0,135.61
26,燃油3000,1,10:26,14:42,[74],3000.0,8.807,374.85,0.0,103.04
26,燃油3000,2,14:45,18:23,"[69, 65]",2841.47,7.309,314.12,0.0,86.35
26,燃油3000,3,18:26,22:43,"[68, 4]",2858.55,6.735,372.94,43.77,102.52
27,燃油3000,1,10:30,15:01,[73],2996.47,7.546,413.93,0.0,113.78
27,燃油3000,2,15:04,17:51,[65],3000.0,6.76,249.61,0.0,68.62
27,燃油3000,3,17:54,21:58,[55],3000.0,7.575,379.52,28.82,104.33
28,新能源3000,1,10:57,16:54,[39],3000.0,7.459,151.38,0.0,38.58
28,新能源3000,2,16:57,19:54,[44],3000.0,7.66,72.17,0.0,18.39
28,新能源3000,3,19:57,24:16,[50],3000.0,8.11,109.72,49.34,27.97
29,燃油3000,1,10:57,15:58,[56],3000.0,7.528,458.07,0.0,125.92
29,燃油3000,2,16:01,19:19,[31],3000.0,6.843,302.32,0.0,83.1
29,燃油3000,3,19:22,22:28,[62],3000.0,8.562,280.87,37.02,77.21
30,燃油3000,1,10:57,15:58,[56],3000.0,7.528,458.07,0.0,125.92
30,燃油3000,2,16:01,19:19,[31],3000.0,6.843,302.32,0.0,83.1
30,燃油3000,3,19:22,22:28,[62],2804.29,8.004,277.81,37.02,76.37
31,燃油3000,1,11:04,17:09,"[30, 7, 74, 36]",2833.31,7.401,369.91,14.08,101.68
31,燃油3000,2,17:12,19:43,[43],2061.58,5.546,210.19,1.06,57.78
31,燃油3000,3,19:46,24:05,[50],3000.0,8.11,405.08,40.12,111.35
32,燃油3000,1,15:03,18:03,[63],3000.0,8.206,271.12,0.0,74.53
32,燃油3000,2,20:09,23:16,[10],3000.0,11.615,282.38,53.52,77.62
32,燃油3000,3,9:57,13:06,[8],3000.0,9.199,187.35,0.0,51.5
32,燃油3000,4,13:09,14:59,[6],3000.0,8.036,228.38,45.45,62.78
33,燃油3000,1,16:03,20:06,[55],3000.0,7.575,379.52,0.0,104.33
33,燃油3000,2,20:09,21:25,[47],2784.5,8.096,93.85,35.8,25.8
33,燃油3000,3,9:57,13:06,[8],3000.0,9.199,187.35,0.0,51.5
34,燃油3000,1,16:25,22:28,"[51, 50]",2360.69,6.447,393.95,26.67,108.29
34,燃油3000,2,9:57,13:06,[8],2749.55,8.431,184.77,0.0,50.79
