车辆ID,车型,第几趟,停靠序号,类型,客户原始ID,是否绿色区客户,到达时刻,离开时刻,该点重量kg,该点体积m3,该点订单编号,累计载重kg,累计体积m3,路线总距离km,行驶能耗元,惩罚元,CO2kg,限行违规
10,新能源3000,1,1,客户59,59,否,11:15,11:35,3000.0,7.918,"[362, 364, 365, 384, 396, 520, 542, 596, 601, 622, 630, 637, 696, 720, 745, 777, 797, 844, 885, 889, 894, 910, 920, 971, 1017, 1038, 1069, 1090, 1118, 1151, 1161, 1335, 1349, 1376, 1409, 1418, 1475, 1500, 1510, 1533, 1540, 1590, 1593, 1604, 1613, 1624, 1670, 1821, 1872, 1886, 1907, 1909, 1936, 1954, 2051, 2056, 2101, 2107, 2130, 2145]",,,,,,,
10,新能源3000,1,2,配送中心(返回),,,14:14,,,,,,,,,,,
10,新能源3000,2,0,配送中心(出发),,,,14:17,,,,2451.35,6.614,45.96,34.54,0.0,8.8,否
10,新能源3000,2,1,客户83,83,否,14:27,14:47,926.84,2.793,"[305, 437, 476, 547, 805, 934, 1296, 1591, 1801, 1874]",,,,,,,
10,新能源3000,2,2,客户92,92,否,15:10,15:30,1524.51,3.82,"[387, 504, 1568, 1828]",,,,,,,
10,新能源3000,2,3,配送中心(返回),,,15:60,,,,,,,,,,,
10,新能源3000,3,0,配送中心(出发),,,,16:03,,,,3000.0,7.955,192.21,149.59,1.26,38.13,否
10,新能源3000,3,1,客户54,54,否,18:46,19:06,3000.0,7.955,"[319, 379, 390, 414, 462, 486, 625, 692, 731, 748, 824, 845, 846, 863, 887, 927, 976, 1052, 1154, 1160, 1175, 1176, 1224, 1391, 1405, 1413, 1426, 1430, 1442, 1474, 1477, 1499, 1503, 1561, 1577, 1598, 1642, 1666, 1668, 1699, 1743, 1759, 1770, 1816, 1830, 1835, 1862, 1882, 1885, 1942, 2004, 2011, 2150, 2167, 2169]",,,,,,,
10,新能源3000,3,2,配送中心(返回),,,21:48,,,,,,,,,,,
11,新能源3000,1,0,配送中心(出发),,,,9:21,,,,2506.71,6.651,80.86,61.53,0.0,15.68,否
11,新能源3000,1,1,客户9,9,是,10:06,10:26,2506.71,6.651,"[2, 45, 54, 59, 64, 71, 86, 100, 101, 129, 131, 155, 159, 161, 162, 163, 181, 183, 184, 186, 190, 192, 194, 200, 201, 211, 219, 231, 237, 248, 253, 260, 264, 281, 289, 294, 297]",,,,,,,
11,新能源3000,1,2,配送中心(返回),,,11:46,,,,,,,,,,,
11,新能源3000,2,0,配送中心(出发),,,,11:49,,,,2679.12,6.919,143.33,106.01,92.28,27.02,否
11,新能源3000,2,1,客户60,60,否,13:15,13:35,906.63,2.381,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
11,新能源3000,2,2,客户7,7,是,14:20,14:40,1463.23,3.575,"[20, 23, 30, 34, 37, 44, 47, 55, 65, 66, 68, 75, 76, 79, 87, 91, 102, 107, 113, 123, 132, 133, 139, 142, 146, 150, 158, 172, 196, 203, 208, 214, 215, 228, 235, 236, 240, 257, 262, 263, 266, 280, 283, 287, 296, 299]",,,,,,,
11,新能源3000,2,3,客户36,36,否,15:21,15:41,309.25,0.963,"[484, 497, 562, 586, 818, 874, 989, 1026, 1138, 1279, 1289, 1411, 1552, 1705, 1869, 2034, 2162]",,,,,,,
11,新能源3000,2,4,配送中心(返回),,,17:15,,,,,,,,,,,
11,新能源3000,3,0,配送中心(出发),,,,17:18,,,,2988.57,8.467,136.99,111.08,617.3,28.31,否
11,新能源3000,3,1,客户38,38,否,19:14,19:34,1261.73,4.067,"[398, 427, 506, 530, 925, 949, 1039, 1143, 1204, 1232, 1268, 1293, 1387, 1497, 1653, 1697, 1797, 1876, 1894, 1962, 2082]",,,,,,,
11,新能源3000,3,2,客户12,12,是,20:31,20:51,1726.84,4.4,"[33, 99, 105, 115, 154, 195, 223, 229, 274, 276, 277, 284, 288, 300]",,,,,,,
11,新能源3000,3,3,配送中心(返回),,,21:50,,,,,,,,,,,
11,新能源3000,4,0,配送中心(出发),,,,21:53,,,,2642.38,7.667,136.39,102.51,294.08,26.13,否
11,新能源3000,4,1,客户10,10,是,23:16,23:36,759.99,2.942,"[3, 4, 8, 10, 14, 16, 41, 57, 58, 62, 69, 77, 83, 95, 108, 111, 114, 120, 122, 124, 125, 137, 151, 168, 170, 179, 191, 205, 207, 213, 220, 227, 230, 232, 239, 251, 269, 285]",,,,,,,
11,新能源3000,4,2,客户78,78,否,24:01,24:21,1882.39,4.724,"[487, 657, 698, 793, 908, 945, 1022, 1121, 1188, 1199, 1484, 1559, 1646, 1655, 1704, 1707, 1865, 2060, 2139, 2152]",,,,,,,
11,新能源3000,4,3,配送中心(返回),,,26:24,,,,,,,,,,,
12,燃油3000,1,0,配送中心(出发),,,,9:37,,,,3000.0,9.838,130.4,391.86,0.29,107.72,否
12,燃油3000,1,1,客户46,46,否,11:11,11:32,3000.0,9.838,"[336, 355, 402, 635, 658, 695, 770, 817, 850, 1021, 1027, 1130, 1147, 1157, 1186, 1227, 1277, 1305, 1331, 1504, 1545, 1549, 1578, 1585, 1983, 2000, 2022, 2076, 2077, 2113, 2119, 2151, 2168]",,,,,,,
12,燃油3000,1,2,配送中心(返回),,,13:55,,,,,,,,,,,
12,燃油3000,2,0,配送中心(出发),,,,13:58,,,,3000.0,7.25,96.95,274.97,0.0,75.59,否
12,燃油3000,2,1,客户64,64,否,14:51,15:11,3000.0,7.25,"[367, 376, 391, 411, 515, 528, 566, 636, 680, 687, 691, 714, 738, 756, 798, 815, 880, 985, 1016, 1025, 1066, 1171, 1244, 1334, 1336, 1378, 1436, 1483, 1538, 1547, 1665, 1681, 1694, 1754, 1792, 1813, 1826, 1848, 1849, 1914, 1929, 1951, 1977, 2043, 2050, 2072, 2083, 2093, 2164]",,,,,,,
12,燃油3000,2,2,配送中心(返回),,,16:33,,,,,,,,,,,
12,燃油3000,3,0,配送中心(出发),,,,16:36,,,,3000.0,6.82,71.56,205.6,7.12,56.52,否
12,燃油3000,3,1,客户48,48,否,17:37,17:57,3000.0,6.82,"[315, 325, 357, 431, 470, 471, 498, 509, 533, 600, 623, 645, 689, 710, 761, 766, 898, 956, 963, 998, 1107, 1124, 1142, 1153, 1215, 1250, 1291, 1390, 1423, 1482, 1506, 1554, 1566, 1621, 1684, 1712, 1749, 1761, 1764, 1920, 2103, 2109]",,,,,,,
12,燃油3000,3,2,配送中心(返回),,,18:57,,,,,,,,,,,
12,燃油3000,4,0,配送中心(出发),,,,19:00,,,,3000.0,8.081,41.43,119.03,36.07,32.72,否
12,燃油3000,4,1,客户53,53,否,19:35,19:55,3000.0,8.081,"[378, 389, 403, 420, 463, 538, 571, 595, 664, 677, 713, 724, 726, 842, 937, 951, 988, 1051, 1059, 1075, 1084, 1091, 1112, 1115, 1116, 1123, 1152, 1166, 1170, 1200, 1213, 1280, 1295, 1299, 1321, 1451, 1456, 1489, 1505, 1601, 1627, 1641, 1643, 1702, 1766, 1787, 1791, 1799, 1854, 1861, 1892, 1905, 2128, 2134, 2153]",,,,,,,
12,燃油3000,4,2,配送中心(返回),,,20:30,,,,,,,,,,,
13,燃油3000,1,0,配送中心(出发),,,,9:37,,,,2468.82,6.101,150.89,416.59,76.0,114.52,否
13,燃油3000,1,1,客户46,46,否,11:11,11:32,319.84,1.049,"[336, 355, 402, 635, 658, 695, 770, 817, 850, 1021, 1027, 1130, 1147, 1157, 1186, 1227, 1277, 1305, 1331, 1504, 1545, 1549, 1578, 1585, 1983, 2000, 2022, 2076, 2077, 2113, 2119, 2151, 2168]",,,,,,,
13,燃油3000,1,2,客户35,35,否,12:21,12:41,1692.58,3.884,"[397, 449, 475, 771, 857, 946, 1195, 1242, 1264, 1333, 1633, 1661, 1687, 1785]",,,,,,,
13,燃油3000,1,3,客户32,32,否,13:04,13:28,442.33,1.125,"[679, 855, 873, 1189, 1462, 1517, 1524, 1966, 2028, 2046, 2163]",,,,,,,
13,燃油3000,1,4,客户61,61,否,13:44,14:04,14.07,0.043,"[439, 464, 472, 555, 656, 659, 660, 702, 708, 778, 788, 810, 975, 977, 1067, 1080, 1087, 1103, 1108, 1132, 1136, 1241, 1251, 1345, 1379, 1469, 1529, 1535, 1555, 1825, 1838, 1903, 1934, 2015, 2059, 2099, 2143]",,,,,,,
13,燃油3000,1,5,配送中心(返回),,,15:06,,,,,,,,,,,
13,燃油3000,2,0,配送中心(出发),,,,15:09,,,,2841.47,7.309,110.13,318.4,0.0,87.53,否
13,燃油3000,2,1,客户69,69,否,16:49,17:09,2288.89,6.064,"[306, 322, 430, 685, 801, 827, 836, 877, 884, 944, 980, 1010, 1015, 1288, 1315, 1433, 1448, 1480, 1518, 1584, 1620, 1672, 1678, 1709, 1794, 1819, 1833, 1852, 1880, 1941, 2013, 2108]",,,,,,,
